,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Symbol,Company Name,Treasury Shares Number,Current Deferred Liabilities,Current Deferred Revenue,Current Capital Lease Obligation,Current Accrued Expenses,Restricted Cash,Other Short Term Investments,Cash Financial,Commercial Paper,Investmentin Financial Assets,Available For Sale Securities,Leases,Properties,Cash Equivalents,Treasury Stock,Non Current Deferred Taxes Liabilities,Dividends Payable,Buildings And Improvements,Preferred Stock,Other Payable,Income Tax Payable,Other Investments,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Shares Number,Preferred Stock Equity,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Prepaid Assets,Liabilities Heldfor Sale Non Current,Investmentsin Joint Venturesat Cost,Assets Held For Sale Current,Taxes Receivable,Other Equity Interest,Current Provisions,Interest Payable,Non Current Note Receivables,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investmentsin Associatesat Cost,Preferred Securities Outside Stock Equity,Line Of Credit,Current Notes Payable,Receivables Adjustments Allowances,Notes Receivable,Loans Receivable,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Held To Maturity Securities,Investment Properties,Duefrom Related Parties Current,Current Deferred Assets,Dueto Related Parties Current,Inventories Adjustments Allowances,Non Current Accrued Expenses,Accrued Interest Receivable,Trading Securities,Investmentsin Subsidiariesat Cost,Total Partnership Capital,Limited Partnership Capital,Dueto Related Parties Non Current,Duefrom Related Parties Non Current,Fixed Assets Revaluation Reserve,Current Deferred Taxes Liabilities,Current Deferred Taxes Assets,General Partnership Capital
3/31/2024,15337686000,15337686000,71895000000,1.0459E+11,74194000000,1.78784E+11,4594000000,74194000000,,74194000000,1.66025E+11,74194000000,,74194000000,-8960000000,-8960000000,4339000000,,78815000000,78815000000,2.63217E+11,1.39395E+11,47564000000,,,,,,,91831000000,,91831000000,,1.23822E+11,57298000000,12759000000,12759000000,10762000000,,45753000000,45753000000,,45753000000,3.37411E+11,2.08995E+11,70262000000,,,,,,,95187000000,,,,43546000000,-71697000000,1.15243E+11,,,,,1.28416E+11,13884000000,,6232000000,,,,,41150000000,19313000000,21837000000,67150000000,32695000000,AAPL,Apple Inc,,8012000000,8012000000,,,,34455000000,28227000000,1997000000,95187000000,95187000000,,,4468000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,15460223000,15460223000,67280000000,1.0804E+11,74100000000,1.8214E+11,9719000000,74100000000,,74100000000,1.69188E+11,74100000000,,74100000000,-9378000000,-9378000000,8242000000,,75236000000,75236000000,2.79414E+11,1.45441E+11,50353000000,,,,,,,95088000000,,95088000000,,1.33973E+11,54611000000,12952000000,12952000000,10954000000,,58146000000,58146000000,,58146000000,3.53514E+11,2.09822E+11,66681000000,,,,,,,99475000000,,,,43666000000,-72510000000,1.16176E+11,,,,,1.43692E+11,13979000000,,6511000000,,,,,50102000000,26908000000,23194000000,73100000000,40760000000,AAPL,Apple Inc,0,8264000000,8264000000,,,,32340000000,29542000000,1998000000,99475000000,99475000000,,,11218000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,15550061000,15550061000,81123000000,1.11088E+11,62146000000,1.73234E+11,-1742000000,62146000000,,62146000000,1.57427E+11,62146000000,,62146000000,-11452000000,-11452000000,-214000000,,73812000000,73812000000,2.90437E+11,1.45129E+11,34391000000,,,,15457000000,,,95281000000,,95281000000,,1.45308E+11,58829000000,15807000000,15807000000,9822000000,,62611000000,62611000000,,62611000000,3.52583E+11,2.09017E+11,46906000000,,,17852000000,17852000000,,,1.00544E+11,,,,43715000000,-70884000000,1.14599E+11,,,78314000000,23446000000,1.43566E+11,14695000000,,6331000000,,,,,60985000000,31477000000,29508000000,61555000000,29965000000,AAPL,Apple Inc,0,8061000000,8061000000,,,,31590000000,28359000000,5985000000,1.00544E+11,1.00544E+11,12839000000,0,1606000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,15647868000,15647868000,80872000000,1.0928E+11,60274000000,1.69554E+11,-2304000000,60274000000,,60274000000,1.58345E+11,60274000000,,60274000000,-11801000000,-11801000000,1408000000,,70667000000,70667000000,2.74764E+11,1.49801E+11,51730000000,,,,,,,98071000000,,98071000000,,1.24963E+11,58897000000,11209000000,11209000000,7216000000,,46699000000,46699000000,,46699000000,3.35038E+11,2.12379E+11,64768000000,,,,,,,1.04061E+11,,,,43550000000,-70787000000,1.14337E+11,,,,,1.22659E+11,13640000000,,7351000000,,3563000000,,3788000000,39186000000,19637000000,19549000000,62482000000,28408000000,AAPL,Apple Inc,,8158000000,8158000000,,,,34074000000,25337000000,3993000000,1.04061E+11,1.04061E+11,,,3071000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,15723406000,15723406000,84928000000,1.09615E+11,62158000000,1.71773E+11,-7162000000,62158000000,,62158000000,1.59199E+11,62158000000,,62158000000,-11746000000,-11746000000,4336000000,,69568000000,69568000000,2.70002E+11,1.49927E+11,52886000000,,,,,,,97041000000,,97041000000,,1.20075E+11,56425000000,12574000000,12574000000,10578000000,,42945000000,42945000000,,42945000000,3.3216E+11,2.19247E+11,65388000000,,,,,,,1.10461E+11,,,,43398000000,-69668000000,1.13066E+11,,,,,1.12913E+11,13660000000,,7482000000,,4103000000,,3379000000,35899000000,17963000000,17936000000,55872000000,24687000000,AAPL,Apple Inc,,8131000000,8131000000,,,,31185000000,20050000000,1996000000,1.10461E+11,1.10461E+11,,,4637000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,1765723150,1829957662,55934000000,74001000000,-87644000000,82008000000,-2651000000,-87644000000,,8007000000,71812000000,8047000000,40000000,8007000000,-2454000000,-2454000000,-2384000000,20656000000,18000000,18000000,1.40827E+11,99305000000,32778000000,,,,,2722000000,,63805000000,,63805000000,,41522000000,,10196000000,10196000000,,,31326000000,,,,1.48874E+11,1.10003E+11,9067000000,,,,,,,305000000,95651000000,62225000000,33426000000,4980000000,-6745000000,11725000000,,,,,38871000000,4608000000,,4245000000,,1258000000,1890000000,1097000000,11949000000,,11949000000,18069000000,18067000000,ABBV,AbbVie Inc.,64234512,,,,,,2000000,,,,,,,,7829000000,2722000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,1765940733,1823046087,46571000000,59385000000,-77543000000,69745000000,-4839000000,-77543000000,,10360000000,62554000000,10397000000,37000000,10360000000,-2305000000,-2305000000,-1000000000,20180000000,18000000,18000000,1.24314E+11,86473000000,28607000000,,1538000000,1538000000,2182000000,1952000000,,52194000000,,52194000000,,37841000000,,7191000000,7191000000,,,30650000000,6471000000,,3688000000,1.34711E+11,1.01709E+11,8513000000,,,,,,,304000000,87903000000,55610000000,32293000000,4989000000,-6646000000,11635000000,1073000000,,7449000000,286000000,33002000000,4932000000,,4099000000,,1356000000,1643000000,1100000000,11155000000,,11155000000,12816000000,12814000000,ABBV,AbbVie Inc.,57105354,,,,24179000000,,2000000,,,,,,0,,6533000000,1952000000,2783000000,2827000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,1765486035,1822577212,47459000000,60746000000,-78600000000,72840000000,-1549000000,-78600000000,,12094000000,67725000000,12129000000,35000000,12094000000,-2353000000,-2353000000,933000000,20021000000,18000000,18000000,1.24092E+11,89319000000,31644000000,,,,,2044000000,,55631000000,,55631000000,,34773000000,,5115000000,5115000000,,,29658000000,,,,1.36221E+11,1.02997E+11,7094000000,,,,,,,275000000,90694000000,58603000000,32091000000,4934000000,-6440000000,11374000000,,,,,33224000000,4541000000,,3981000000,,1035000000,1690000000,1256000000,11412000000,,11412000000,13290000000,13287000000,ABBV,AbbVie Inc.,57091177,,,,,,3000000,,,,,,,,6525000000,2044000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,1764798959,1821926709,52256000000,61015000000,-82220000000,73881000000,-3387000000,-82220000000,,12866000000,68678000000,12898000000,32000000,12866000000,-2252000000,-2252000000,1789000000,19839000000,18000000,18000000,1.22469E+11,90230000000,32294000000,,,,,2124000000,,55812000000,,55812000000,,32239000000,,5203000000,5203000000,,,27036000000,,,,1.35367E+11,1.06515E+11,6198000000,,,,,,,288000000,95086000000,62862000000,32224000000,4943000000,-6375000000,11318000000,,,,,28852000000,4540000000,,4055000000,,1177000000,1606000000,1272000000,11491000000,,11491000000,8766000000,8759000000,ABBV,AbbVie Inc.,57127750,,,,,,7000000,,,,,,,,6528000000,2124000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,1763968992,1821082016,55382000000,62093000000,-83794000000,75367000000,-1102000000,-83794000000,,13274000000,72566000000,13303000000,29000000,13274000000,-2232000000,-2232000000,2393000000,19619000000,18000000,18000000,1.21241E+11,93651000000,32249000000,,,,,2110000000,,59292000000,,59292000000,,27590000000,,2801000000,2801000000,,,24789000000,,,,1.34544E+11,1.08056E+11,5800000000,,,,,,,257000000,97068000000,64848000000,32220000000,4931000000,-6211000000,11142000000,,,,,26488000000,4460000000,,3833000000,,1319000000,1312000000,1202000000,11473000000,,11473000000,6722000000,6711000000,ABBV,AbbVie Inc.,57113024,,,,,,11000000,,,,,,,,6524000000,2110000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,1739633759,1989789274,8302000000,14586000000,7131000000,53396000000,8355000000,7131000000,,38810000000,51386000000,39043000000,233000000,38810000000,-8166000000,-8166000000,38011000000,,24726000000,24726000000,33424000000,19403000000,6827000000,,,,,,,12576000000,,12576000000,,14021000000,,2010000000,2010000000,,,12011000000,5699000000,562000000,4178000000,72467000000,50091000000,7487000000,,,,,,,818000000,31679000000,8296000000,23383000000,10107000000,-11948000000,22055000000,,,,,22376000000,,,6827000000,,4063000000,881000000,1883000000,8898000000,2293000000,6605000000,6651000000,6284000000,ABT,Abbott Laboratories,250155515,,,,6312000000,,367000000,,,547000000,547000000,,,,15761000000,,959000000,,0,,562000000,271000000,-439000000,7044000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,1734076358,1987883852,7783000000,15628000000,6109000000,53282000000,8829000000,6109000000,949000000,38603000000,52202000000,38827000000,224000000,38603000000,-7839000000,-7839000000,37554000000,,24869000000,24869000000,34387000000,20546000000,3466000000,,1964000000,1964000000,,568000000,,14548000000,949000000,13599000000,,13841000000,,1080000000,1080000000,,,12761000000,6392000000,492000000,4295000000,73214000000,50544000000,7097000000,,,,,,,799000000,32494000000,8815000000,23679000000,10154000000,-11779000000,21933000000,2064000000,15179000000,,529000000,22670000000,,,6570000000,,3946000000,807000000,1817000000,8821000000,2256000000,6565000000,7279000000,6896000000,ABT,Abbott Laboratories,253807494,,,,6369000000,,383000000,,,555000000,555000000,,0,,15981000000,568000000,955000000,4161000000,0,650000000,492000000,244000000,-444000000,7009000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,1736058536,1987305154,8819000000,15528000000,4922000000,53009000000,9622000000,4922000000,,37481000000,51958000000,37694000000,213000000,37481000000,-8480000000,-8480000000,36920000000,,24727000000,24727000000,34396000000,21354000000,6877000000,,,,,,,14477000000,,14477000000,,13042000000,,1051000000,1051000000,,,11991000000,5165000000,318000000,3961000000,72090000000,49426000000,6527000000,,,,,,,788000000,32559000000,9282000000,23277000000,9552000000,-11559000000,21111000000,,,,,22664000000,,,6650000000,,3847000000,888000000,1915000000,8967000000,2468000000,6499000000,7047000000,6709000000,ABT,Abbott Laboratories,251246618,,,,6826000000,,338000000,,,566000000,566000000,,,,15686000000,,886000000,,0,,318000000,222000000,-472000000,6971000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,1735357980,1987181491,9011000000,16846000000,4082000000,54020000000,9155000000,4082000000,,37174000000,51736000000,37404000000,230000000,37174000000,-8071000000,-8071000000,36355000000,,24612000000,24612000000,35950000000,21600000000,7038000000,,,,,,,14562000000,,14562000000,,14350000000,,2284000000,2284000000,,,12066000000,5370000000,273000000,4211000000,73354000000,49849000000,6509000000,,,6509000000,6509000000,,,799000000,33092000000,9834000000,23258000000,9449000000,-11477000000,20926000000,,,,,23505000000,,,6871000000,,4004000000,845000000,2022000000,8479000000,2307000000,6172000000,8155000000,7835000000,ABT,Abbott Laboratories,251823511,,,,6696000000,,320000000,,,574000000,574000000,,,,15722000000,,886000000,,0,,273000000,225000000,-485000000,6657000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,1738946799,1986904170,7739000000,16900000000,4077000000,53910000000,9847000000,4077000000,,37010000000,51625000000,37232000000,222000000,37010000000,-8039000000,-8039000000,35868000000,,24488000000,24488000000,36562000000,22032000000,7417000000,,7417000000,7417000000,,,,14615000000,,14615000000,,14530000000,,2285000000,2285000000,,,12245000000,5389000000,334000000,4167000000,73794000000,49417000000,6426000000,,,6426000000,6426000000,,,776000000,32933000000,10006000000,22927000000,9282000000,-11323000000,20605000000,,,,,24377000000,,,6673000000,,3944000000,805000000,1924000000,8172000000,2152000000,6020000000,9532000000,9161000000,ABT,Abbott Laboratories,247957371,,,,6856000000,,371000000,,,565000000,565000000,,,,15307000000,,888000000,,0,,334000000,211000000,-503000000,6523000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,375300000,594300000,1734000000,2727000000,17747000000,21252000000,,18577000000,,18525000000,22082000000,19357000000,2000000,19355000000,-821000000,-821000000,21405000000,2401000000,831000000,1000000,43411000000,,,,,,,,,2727000000,,2727000000,,,,,,,,4407000000,4407000000,,4407000000,62768000000,,,,,,,,,33506000000,778000000,,,,,,,,,,,,,,,,,,15181000000,,15181000000,8809000000,993000000,ACGL,Arch Capital Group Ltd.,219000000,,,,,,7816000000,,,,,,,,4461000000,,,,830000000,,,,,,830000,830000000,6016000000,6016000000,2717000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
